cycle_id,old_ath_date,source_signal_date,source_execution_t_plus_1,final_execution_date,event_type,target_vvsm_weight,delay_td,hold_td,fixed_exit_signal_date
1,2001-02-01,2002-07-10,2002-07-11,2002-09-06,DELAYED_ENTRY_OR_SCALE,0.1,40,378,
1,2001-02-01,2002-07-18,2002-07-19,2002-09-16,DELAYED_ENTRY_OR_SCALE,0.3,40,378,
1,2001-02-01,,,2004-03-09,FIXED_EXIT,0.0,40,378,2004-03-08
2,2007-10-09,2008-10-06,2008-10-07,2008-12-03,DELAYED_ENTRY_OR_SCALE,0.1,40,378,
2,2007-10-09,2008-10-08,2008-10-09,2008-12-05,DELAYED_ENTRY_OR_SCALE,0.3,40,378,
2,2007-10-09,2008-11-19,2008-11-20,2009-01-21,DELAYED_ENTRY_OR_SCALE,0.6,40,378,
2,2007-10-09,2008-11-20,2008-11-21,2009-01-22,DELAYED_ENTRY_OR_SCALE,1.0,40,378,
2,2007-10-09,,,2010-06-07,FIXED_EXIT,0.0,40,378,2010-06-04
3,2020-02-19,2020-03-20,2020-03-23,2020-05-19,DELAYED_ENTRY_OR_SCALE,0.1,40,378,
3,2020-02-19,,,2021-11-16,FIXED_EXIT,0.0,40,378,2021-11-15
