row_number,cycle_id,execution_date,event_type,target_sleeve,exact_match,differences
0,1,2002-09-06,DELAYED_ENTRY_OR_SCALE,0.1,True,
1,1,2002-09-16,DELAYED_ENTRY_OR_SCALE,0.3,True,
2,1,2004-03-09,FIXED_EXIT,0.0,True,
3,2,2008-12-03,DELAYED_ENTRY_OR_SCALE,0.1,True,
4,2,2008-12-05,DELAYED_ENTRY_OR_SCALE,0.3,True,
5,2,2009-01-21,DELAYED_ENTRY_OR_SCALE,0.6,True,
6,2,2009-01-22,DELAYED_ENTRY_OR_SCALE,1.0,True,
7,2,2010-06-07,FIXED_EXIT,0.0,True,
8,3,2020-05-19,DELAYED_ENTRY_OR_SCALE,0.1,True,
9,3,2021-11-16,FIXED_EXIT,0.0,True,
