cycle_id,event_type,signal_date,execution_date,old_ath_date,old_ath_value,stored_drawdown,calculated_drawdown,target_sleeve,expected_target_from_drawdown,causal_ath_value_match,causal_ath_date_match,drawdown_reproduction_match,signal_t_to_execution_t_plus_1,target_rule_match
1,ENTRY_OR_SCALE,2002-07-10,2002-07-11,2001-02-01,1.0706559184235904,0.318859173418747,0.31885917341874703,0.1,0.1,True,True,True,True,True
1,ENTRY_OR_SCALE,2002-07-18,2002-07-19,2001-02-01,1.0706559184235904,0.3508477517038644,0.3508477517038644,0.3,0.3,True,True,True,True,True
1,HANDOFF,2003-12-01,2003-12-02,2001-02-01,1.0706559184235904,0.1880049374043988,0.18800493740439883,0.0,0.0,True,True,True,True,True
2,ENTRY_OR_SCALE,2008-10-06,2008-10-07,2007-10-09,1.3656026559341905,0.3058229703834355,0.30582297038343553,0.1,0.1,True,True,True,True,True
2,ENTRY_OR_SCALE,2008-10-08,2008-10-09,2007-10-09,1.3656026559341905,0.359291378926602,0.359291378926602,0.3,0.3,True,True,True,True,True
2,ENTRY_OR_SCALE,2008-11-19,2008-11-20,2007-10-09,1.3656026559341905,0.4700053106437931,0.47000531064379314,0.6,0.6,True,True,True,True,True
2,ENTRY_OR_SCALE,2008-11-20,2008-11-21,2007-10-09,1.3656026559341905,0.5051082468125492,0.5051082468125492,1.0,1.0,True,True,True,True,True
2,HANDOFF,2009-12-22,2009-12-23,2007-10-09,1.3656026559341905,0.2479916679394546,0.2479916679394546,0.0,0.0,True,True,True,True,True
3,ENTRY_OR_SCALE,2020-03-20,2020-03-23,2020-02-19,3.798959118303108,0.3198776122176274,0.31987761221762745,0.1,0.1,True,True,True,True,True
3,HANDOFF,2020-04-17,2020-04-20,2020-02-19,3.798959118303108,0.1485765736560372,0.14857657365603727,0.0,0.0,True,True,True,True,True
